Classification,FilePath,ClassName,CurrentResponsibility,Dependencies,BlackClockConcept,DragonBoundModule,EstimatedChange,ExistingTests,MigrationRisk
B,Assets/BlackClockAlpha/Runtime/Data/MergeRecipeDefinition.cs,MergeRecipeDefinition,ScriptableObject pair recipe and output,UnityEngine; ItemDefinition,AlphaEnabled flag and Alpha menu,DragonBound/Data,Remove AlphaEnabled and rename menu/schema,DefinitionCatalogValidationTests; RecipeMergeResolverTests,Medium
B,Assets/BlackClockAlpha/Runtime/Data/UnitIdentityDefinition.cs,UnitIdentityDefinition,Adds profession id and star to item definition,UnityEngine; ItemDefinition,Profession and star vocabulary,DragonBound/Units/Data,Replace profession/star with unit archetype/level fields,DefinitionCatalogValidationTests; RecipeMergeResolverTests,Medium
C,Assets/BlackClockAlpha/Runtime/Data/WorkbenchCatalogDefinition.cs,WorkbenchCatalogDefinition,Stores item and recipe arrays and validates lookup,UnityEngine; validator,12-slot Workbench support via consumers,DragonBound/Data,Rewrite catalog for DragonBound units/recipes,DefinitionCatalogValidationTests; Workbench tests,Medium
B,Assets/BlackClockAlpha/Runtime/Workbench/RecipeMergeResolver.cs,RecipeMergeResolver,Resolves unordered input pair to configured recipe,IMergeResolver; WorkbenchCatalogDefinition,Uses Alpha item definitions but algorithm is generic,DragonBound/Units/Merge,Namespace and catalog dependency adaptation,RecipeMergeResolverTests; WorkbenchTransactionTests,Low
B,Assets/BlackClockAlpha/Runtime/Workbench/SequentialItemInstanceIdSource.cs,SequentialItemInstanceIdSource,Previews and commits collision-free item IDs,System.Globalization; Workbench.SlotCount,Prefix and slot-bound retry are Alpha Workbench details,GameShared/Ids,Remove slot coupling and rename prefix,WorkbenchTransactionTests,Medium
C,Assets/BlackClockAlpha/Runtime/Workbench/Workbench.cs,Workbench,12-slot event-driven add/drop/swap/remove/merge transaction,Contracts; Data; resolver,12 fixed Alpha slots and item kinds,DragonBound/Grid and Merge,Rewrite for 6 battle + 5 bench occupancy and drag commands,WorkbenchLayoutTests; WorkbenchTransactionTests; WorkbenchEventDrivenTests,High
D,Assets/BlackClockAlpha/Runtime/Workbench/WorkbenchErrorCodes.cs,WorkbenchErrorCodes; MergeErrorCodes,Stable Alpha Workbench error strings,None,BlackClock Workbench contract,DragonBound/Grid,Do not copy strings; create DragonBound errors,Workbench tests,Medium
C,Assets/BlackClockAlpha/Runtime/Deployment/DeploymentService.cs,IDeploymentUnitSource; DeploymentSlotChanged; DeploymentService,Manages six lane/front-back deployment slots,Contracts,Three lanes and front/back Alpha deployment,DragonBound/Grid/Deployment,Rewrite as 2D grid placement and movement,DeploymentServiceTests; Battlefield tests,High
D,Assets/BlackClockAlpha/Runtime/Combat/Barricades/BarricadeController.cs,BarricadeState; BarricadeLaneSnapshot; BarricadeController,Blocks ground enemies and rebuilds lane barricades,Deployment; Contracts,Explicit璺殰/Barricade and Quarantine Warden,Forbidden,Do not migrate,DeploymentServiceTests; BattlefieldAndBarricadeTests; EnemyFieldTests,Prohibited
C,Assets/BlackClockAlpha/Runtime/Combat/Battlefield/BattlefieldTopology.cs,BattlefieldLaneSnapshot; BattlefieldSnapshot; BattlefieldTopology,Defines three 24-cell lanes and deployment snapshot,Deployment; Contracts,Three-lane 24-cell Alpha battlefield,DragonBound/Grid/Board,Replace with 2D board and 6/5 cells,BattlefieldAndBarricadeTests,High
D,Assets/BlackClockAlpha/Runtime/Combat/Battlefield/CombatMovementControl.cs,CombatMovementControl,Stops movement for Alpha Bell/Barricade reasons,Contracts,StopReason includes Bell/Barricade/Quarantine,Forbidden,Do not migrate; implement generic pause/slow effects separately,EnemyFieldTests; BattlefieldAndBarricadeTests,Prohibited
B,Assets/BlackClockAlpha/Runtime/Combat/Enemies/EnemyDefinition.cs,EnemyMovementKind; EnemyDefinition,ScriptableObject enemy stats and validation,UnityEngine; Contracts,Leak damage and normal-wave ground restriction,DragonBound/Enemies/Data,Remove leak/Lumen and normal-wave assumptions,EnemyFieldTests; NormalWaveAssetTests,Medium
C,Assets/BlackClockAlpha/Runtime/Combat/Enemies/EnemyField.cs,EnemyField,Spawns; damages; linearly advances and leaks enemies,EnemyDefinition; BarricadeController; BattlefieldTopology,Three lanes; Lumen endpoint;璺殰 dependency,DragonBound/Enemies/Path,Rewrite path graph; occupancy and endpoint settlement,EnemyFieldTests; NormalWaveControllerTests; PlayMode baseline,High
B,Assets/BlackClockAlpha/Runtime/Combat/Enemies/EnemyRuntime.cs,EnemyInstanceId; EnemySnapshot; EnemySpawned; EnemyLeaked; EnemyRemoved,Immutable enemy IDs snapshots and lifecycle events,Contracts; EnemyMovementKind,Leak event is Alpha-specific but snapshot/event shape reusable,DragonBound/Enemies,Rename leak event to endpoint/defeat and adapt fields,EnemyFieldTests; PlayMode baseline,Medium
B,Assets/BlackClockAlpha/Runtime/Combat/Targeting/CombatTargetContext.cs,CombatTargetContext,Validates lane position and one-dimensional range,Contracts,Alpha lane coordinate model,DragonBound/Combat,Replace lane/position with 2D coordinates,DeterministicTargetingTests; combat behavior tests,High
B,Assets/BlackClockAlpha/Runtime/Combat/Targeting/CombatTargetEligibility.cs,CombatTargetEligibility,Filters health; adjacent lane and scalar range candidates,EnemySnapshot,Three-lane adjacency and scalar range,DragonBound/Combat,Rewrite to circular distance and team/board eligibility,DeterministicTargetingTests,High
B,Assets/BlackClockAlpha/Runtime/Combat/Targeting/DeterministicTargetSelector.cs,DeterministicTargetSelector,Locks and deterministically selects target/penetration line,EnemySnapshot; TargetLock; EnemyMovementKind,Lane front priority and flying priority are Alpha-specific,DragonBound/Combat,Retain deterministic tie-break strategy; rewrite geometry and patterns,DeterministicTargetingTests; BlackpowderCombatBehaviorTests,High
D,Assets/BlackClockAlpha/Runtime/Combat/Targeting/MiasmaAreaTargetSelector.cs,MiasmaAreaSelection; MiasmaAreaTargetSelector,Selects same-lane Miasma damage region,EnemySnapshot; targeting,Miasma Doctor and infection context,Forbidden,Do not migrate,DeterministicTargetingTests; MiasmaCombatBehaviorTests,Prohibited
B,Assets/BlackClockAlpha/Runtime/Combat/Targeting/TargetLock.cs,TargetLock,Stores stable enemy instance target lock,EnemyInstanceId,No direct business concept,GameShared/Combat,Namespace and target ID adaptation,DeterministicTargetingTests; combat behavior tests,Low
B,Assets/BlackClockAlpha/Runtime/Combat/Units/AttackCooldown.cs,AttackCooldown,Advances fixed attack interval and readiness,System,No direct business concept,GameShared/Combat,Namespace only,All profession behavior tests,Low
D,Assets/BlackClockAlpha/Runtime/Combat/Units/BlackpowderCombatBehavior.cs,BlackpowderCombatBehavior,Blackpowder doctor penetrates one/two/three targets,ProfessionCombatDefinition; EnemyDamagePort; targeting,Blackpowder Doctor and Alpha penetration values,Forbidden,Do not migrate; implement DragonBound attack patterns,BlackpowderCombatBehaviorTests,Prohibited
D,Assets/BlackClockAlpha/Runtime/Combat/Units/CombatEffectRequests.cs,CombatInfectionFactKey; CombatInfectionFact; settlement; attack resolutions,Correlates infection facts to Lumen healing and damage,Contracts; Enemy IDs,Infection; Lumen healing; doctor producers,Forbidden,Do not migrate, Miasma/Purifier tests,Prohibited
B,Assets/BlackClockAlpha/Runtime/Combat/Units/EnemyDamagePort.cs,IEnemyDamagePort; EnemyFieldDamagePort,Ports damage requests to EnemyField,EnemyField; Contracts,No forbidden concept in port itself,GameShared/Combat,Adapt enemy runtime port,Profession behavior tests; PlayMode baseline,Low
D,Assets/BlackClockAlpha/Runtime/Combat/Units/LumenHealingPort.cs,ILumenHealingPort,Port for healing Lumen,Contracts,娌荤枟/Lumen,Forbidden,Do not migrate, PurifierCombatBehaviorTests,Prohibited
D,Assets/BlackClockAlpha/Runtime/Combat/Units/MiasmaCombatBehavior.cs,MiasmaCombatBehavior; ActiveEffect,Applies Miasma DOT and infection facts,EnemyDamagePort; IInfection; targeting,Infection; Miasma Doctor,Forbidden,Do not migrate, MiasmaCombatBehaviorTests,Prohibited
D,Assets/BlackClockAlpha/Runtime/Combat/Units/ProfessionCombatCatalog.cs,ProfessionCombatCatalog,Validates exactly eight Alpha profession definitions,ProfessionCombatDefinition; UnityEngine,Four BlackClock doctors and two stars,Forbidden,Do not migrate,ProfessionCombatConfigTests,Prohibited
D,Assets/BlackClockAlpha/Runtime/Combat/Units/ProfessionCombatDefinition.cs,ProfessionCombatKind; ProfessionCombatPreset; ProfessionCombatPresets; ProfessionCombatDefinition,Stores hardcoded approved doctor combat stats,UnityEngine; Alpha IDs,Blackpowder/Miasma/Purifier/Quarantine Warden,Forbidden,Do not migrate; create DragonBound unit config,ProfessionCombatConfigTests; all behavior tests,Prohibited
D,Assets/BlackClockAlpha/Runtime/Combat/Units/ProfessionCombatErrorCodes.cs,ProfessionCombatErrorCodes,Stable Alpha profession and Lumen error codes,None,Doctor/Lumen/blocked unit terms,Forbidden,Do not migrate,Profession behavior tests,Prohibited
D,Assets/BlackClockAlpha/Runtime/Combat/Units/PurifierCombatBehavior.cs,PurifierCombatBehavior,Attacks while emitting purification and optional Lumen healing facts,ProfessionCombatDefinition; IEnemyDamagePort,娌荤枟/Purifier/Infection,Forbidden,Do not migrate,PurifierCombatBehaviorTests,Prohibited
D,Assets/BlackClockAlpha/Runtime/Combat/Units/QuarantineWardenBehavior.cs,QuarantineWardenBehavior,Blocks ground enemies and attacks blocked targets,ProfessionCombatDefinition; IEnemyDamagePort,Quarantine Warden and璺殰 replacement semantics,Forbidden,Do not migrate,QuarantineWardenBehaviorTests; DeploymentServiceTests,Prohibited
C,Assets/BlackClockAlpha/Runtime/Waves/NormalWaveDefinition.cs,WaveSpawnEntry; NormalWaveDefinition,Stores ordered timed enemy spawn entries,UnityEngine; EnemyDefinition; Contracts,Normal Alpha wave and lane limits,DragonBound/Waves,Rewrite for 15 waves; Boss metadata and residual policy,NormalWaveAssetTests; NormalWaveControllerTests,High
C,Assets/BlackClockAlpha/Runtime/Waves/NormalWaveCatalog.cs,NormalWaveCatalog,Validates and looks up exactly three normal waves,UnityEngine; NormalWaveDefinition,Exactly three Normal waves,DragonBound/Waves,Remove count=3 and support 15/Boss catalog,NormalWaveAssetTests; NormalWaveControllerTests,High
C,Assets/BlackClockAlpha/Runtime/Waves/NormalWaveController.cs,NormalWaveController,Schedules spawns and clears only with no active enemies,EnemyField; catalog; IWaveController,Three-wave clear-before-next rule,DragonBound/Waves,Rewrite scheduler to allow residual enemies and Boss phases,NormalWaveControllerTests; PlayMode baseline,High
B,Assets/BlackClockAlpha/Runtime/BlackClock.Alpha.Runtime.asmdef,BlackClock.Alpha.Runtime,Compiles all Alpha Runtime into one auto-referenced assembly,None,Assembly name and namespace,GameShared/Assembly,Create GameShared.Runtime and DragonBound.Runtime split,Source compilation,Medium
B,Assets/BlackClockAlpha/Tests/EditMode/BlackClock.Alpha.Tests.EditMode.asmdef,BlackClock.Alpha.Tests.EditMode,EditMode test assembly references Alpha runtime,BlackClock.Alpha.Runtime; TestAssemblies,Alpha assembly names,DragonBound.Tests.EditMode,Copy and rename references/platform settings,125 EditMode tests passed,Low
B,Assets/BlackClockAlpha/Tests/PlayMode/BlackClock.Alpha.Tests.PlayMode.asmdef,BlackClock.Alpha.Tests.PlayMode,PlayMode test assembly references Alpha runtime,BlackClock.Alpha.Runtime; TestAssemblies,Alpha assembly names,DragonBound.Tests.PlayMode,Copy and rename references/platform settings,23 PlayMode tests passed,Low
C,Assets/BlackClockAlpha/Tests/EditMode/Combat/Battlefield/BattlefieldAndBarricadeTests.cs,BattlefieldAndBarricadeTests,Asserts three lanes; six slots and璺殰 timers,Deployment; Barricades; Battlefield,璺殰 and three-lane Alpha board,DragonBound/Grid,Rewrite assertions for 6/5 grid; do not copy barricade fixtures,3 EditMode tests passed,High
C,Assets/BlackClockAlpha/Tests/EditMode/Combat/Battlefield/CombatTestFactory.cs,DictionaryUnitSource; CombatTestFactory,Builds deployment unit source doubles,Deployment; Contracts,Three-lane deployment fixture,DragonBound/Grid,Rewrite fixture to board occupancy,Used by battlefield/deployment tests,Medium
C,Assets/BlackClockAlpha/Tests/EditMode/Combat/Deployment/DeploymentServiceTests.cs,DeploymentServiceTests,Tests six-slot deploy/move/recall and warden replacement,Deployment; Barricade,Quarantine Warden/璺殰,DragonBound/Grid,Retain invariant style; replace rules,3 EditMode tests passed,High
C,Assets/BlackClockAlpha/Tests/EditMode/Combat/Enemies/EnemyFieldTests.cs,EnemyFieldTests,Tests linear movement; leaks; flying and movement stops,EnemyField; Barricade; Battlefield,璺殰; Lumen leak model; lane paths,DragonBound/Enemies,Rewrite for path graph and settlement,5 EditMode tests passed,High
D,Assets/BlackClockAlpha/Tests/EditMode/Combat/Units/BlackpowderCombatBehaviorTests.cs,BlackpowderCombatBehaviorTests,Tests doctor penetration multipliers and cooldown,Blackpowder behavior,Blackpowder Doctor,Forbidden,Do not migrate,3 EditMode tests passed,Prohibited
C,Assets/BlackClockAlpha/Tests/EditMode/Combat/Units/DeterministicTargetingTests.cs,DeterministicTargetingTests,Tests lane/position/flying priority and locked target,Target selectors; Enemy snapshots,Alpha lane geometry,DragonBound/Combat,Rewrite for 2D circles and target policy,5 EditMode tests passed,High
D,Assets/BlackClockAlpha/Tests/EditMode/Combat/Units/MiasmaCombatBehaviorTests.cs,MiasmaCombatBehaviorTests,Tests Miasma DOT; infection and producer ordinals,Miasma behavior; FakeInfection,Infection; Miasma Doctor,Forbidden,Do not migrate,4 EditMode tests passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Combat/Units/ProfessionCombatConfigTests.cs,ProfessionCombatConfigTests,Tests eight doctor definitions against DEC-028,Profession catalog/config,BlackClock professions and approved stats,Forbidden,Do not migrate,3 test groups passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Combat/Units/ProfessionCombatTestDoubles.cs,ProfessionCombatTestFactory; FakeEnemyDamagePort; FakeInfection; FakeLumenHealingPort,Test doubles for doctor/infection/healing behavior,Combat ports; Infection,Infection; treatment; doctors,Forbidden,Do not migrate,No standalone tests; consumed by prohibited tests,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Combat/Units/PurifierCombatBehaviorTests.cs,PurifierCombatBehaviorTests,Tests purification and actual Lumen healing settlement,Purifier; FakeInfectionBatchPort; Lumen port,娌荤枟; Infection; Purifier,Forbidden,Do not migrate,5 EditMode tests passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Combat/Units/QuarantineWardenBehaviorTests.cs,QuarantineWardenBehaviorTests,Tests blocked enemy capacity and shield bash,QuarantineWarden behavior,Quarantine Warden;璺殰 semantics,Forbidden,Do not migrate,4 EditMode tests passed,Prohibited
C,Assets/BlackClockAlpha/Tests/EditMode/Combat/Waves/NormalWaveAssetTests.cs,NormalWaveAssetTests,Tests four common enemies and three fixed wave assets,Normal wave config; EnemyDefinition,Three-wave Alpha schedules,DragonBound/Waves,Rewrite data-driven wave tests,3 EditMode tests passed,High
C,Assets/BlackClockAlpha/Tests/EditMode/Combat/Waves/NormalWaveControllerTests.cs,NormalWaveControllerTests,Tests spawn timing; pending/active clear and invalid config,NormalWaveController; EnemyField,Clear-before-next rule,DragonBound/Waves,Rewrite residual and Boss assertions,4 EditMode tests passed,High
D,Assets/BlackClockAlpha/Tests/EditMode/CoreSlot/CoreSlotResolutionBoundaryTests.cs,CoreSlotResolutionBoundaryTests,Tests Core Slot no-recipe and unsupported resolution,CoreSlot; Workbench; resolver,Core Slot,Forbidden,Do not migrate,3 EditMode tests passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/CoreSlot/CoreSlotTypeAndStorageTests.cs,CoreSlotTypeAndStorageTests,Tests only SpecialCore storage and supply interaction,CoreSlot; Supply; Workbench,Core Slot; 鍖婚櫌琛ョ粰,Forbidden,Do not migrate,4 test groups passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Diagnostics/DiagnosticPresetTests.cs,DiagnosticPresetTests,Tests 0/35/65 infection diagnostic presets and launch,Diagnostics; RunController,Infection; BlackClock Alpha,Forbidden,Do not migrate,2 EditMode tests passed,Prohibited
B,Assets/BlackClockAlpha/Tests/EditMode/Diagnostics/DiagnosticsTestDoubles.cs,MemoryTelemetryLineWriter; ThrowingTelemetryLineWriter; CollectingRandomCallRecorder; FakeRunController,Test doubles for telemetry/random/policy,System; Telemetry; Contracts,Mostly generic; FakeRunController has Alpha phase,GameShared/Tests,Extract generic doubles and rename context,Consumed by diagnostics tests,Medium
C,Assets/BlackClockAlpha/Tests/EditMode/Diagnostics/JsonlTelemetrySchemaTests.cs,JsonlTelemetrySchemaTests,Tests JSONL required envelope fields and frozen event set,Telemetry serializer/schema,Schema includes Supply/Infection/Bell names,GameShared/Tests,Rewrite event list and envelope fields,2 EditMode tests passed,High
B,Assets/BlackClockAlpha/Tests/EditMode/Diagnostics/RandomCallTelemetryTests.cs,RandomCallTelemetryTests,Tests same-seed decisions and event order,RunSeed; TelemetryRandomCallRecorder,Alpha snapshot names only,GameShared/Tests,Rename context/event and retain determinism assertions,1 EditMode test passed,Low
B,Assets/BlackClockAlpha/Tests/EditMode/Diagnostics/RunSeedAndRunRandomTests.cs,RunSeedAndRunRandomTests,Tests fixed seed reproducibility; range; invalid calls and one random instance,RunSeed; RunRandom,No direct business concept,GameShared/Tests,Namespace rename only,5 EditMode tests passed,Low
B,Assets/BlackClockAlpha/Tests/EditMode/Diagnostics/RuntimeRandomSourcePolicyTests.cs,RuntimeRandomSourcePolicyTests,Scans runtime for unapproved entropy sources,Reflection; source files,Alpha path/namespace scan,GameShared/Tests,Update scan roots and allowed policy,1 EditMode test passed,Low
B,Assets/BlackClockAlpha/Tests/EditMode/Diagnostics/TelemetryFailureIsolationTests.cs,TelemetryFailureIsolationTests,Tests writer/serializer failures do not affect gameplay random result,Telemetry; RunRandom,No direct business concept,GameShared/Tests,Update envelope fixtures,2 EditMode tests passed,Low
B,Assets/BlackClockAlpha/Tests/EditMode/Diagnostics/TelemetryPathResolverTests.cs,TelemetryPathResolverTests,Tests project log path; Android path and run ID sanitization,TelemetryPathResolver; UnityEngine,BlackClockAlpha path name,GameShared/Tests,Update directory expectation and target project marker,3 EditMode tests passed,Low
D,Assets/BlackClockAlpha/Tests/EditMode/Supply/Integration/C04BIntegrationTestFixtures.cs,C04BIntegrationTestFixtures,Builds hospital supply/Core Slot integration fixtures,Supply; CoreSlot; Workbench,鍖婚櫌琛ョ粰; Core Slot,Forbidden,Do not migrate,Fixture only,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Supply/Integration/SupplyDeskWorkbenchTransactionTests.cs,SupplyDeskWorkbenchTransactionTests,Tests supply claim price and real Workbench commit,Supply; Workbench,鍖婚櫌琛ョ粰,Forbidden,Do not migrate,1 EditMode test passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Supply/Integration/SupplyPauseControlTests.cs,SupplyPauseControlTests,Tests nested supply pause tokens,Supply pause,鍖婚櫌琛ョ粰,Forbidden,Do not migrate,2 EditMode tests passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Supply/Integration/WorkbenchSupplyDestinationTests.cs,WorkbenchSupplyDestinationTests,Tests supply destination forwarding,Supply; Workbench,鍖婚櫌琛ョ粰,Forbidden,Do not migrate,2 test groups passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Supply/Integration/WorkbenchSupplyInventoryViewTests.cs,WorkbenchSupplyInventoryViewTests,Tests inventory projection of doctors/equipment,Supply; Workbench,鍖婚櫌琛ョ粰; Doctor,Forbidden,Do not migrate,1 EditMode test passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Supply/Logic/SupplyCombatWindowTests.cs,SupplyCombatWindowTests,Tests supply open limits during combat waves,Supply logic; phase,鍖婚櫌琛ョ粰,Forbidden,Do not migrate,3 EditMode tests passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Supply/Logic/SupplyCorrectionTests.cs,SupplyCorrectionTests,Tests correction streak limits for supply choices,Supply logic,鍖婚櫌琛ョ粰,Forbidden,Do not migrate,3 EditMode tests passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Supply/Logic/SupplyDefinitionTests.cs,SupplyDefinitionTests,Tests approved normal supply item kinds,Supply config; ItemDefinition,鍖婚櫌琛ョ粰,Forbidden,Do not migrate,4 test groups passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Supply/Logic/SupplyDeterminismTests.cs,SupplyDeterminismTests,Tests seeded supply choice determinism,Supply; RunRandom,鍖婚櫌琛ョ粰,Forbidden,Do not migrate,2 EditMode tests passed,Prohibited
