Module,ArtifactType,PathOrExactScope,CurrentResponsibility,ExistingDependencies,ReverseOrCrossBoundaryDependency,MoveNow,RequiredInterfaceOrAction,Owner,Risk
Meta,Contract,No dedicated runtime directory; Item/Rune progression interfaces and Docs,Energy Gold Rank unlock DayKey authority,Items; Runes; Core,No authoritative service exists,No,Create Meta.Contracts only; never infer server state,Meta/Backend,High
Ads/Server,Contract,Assets/DragonBound/Runtime/Items/ItemProfile.cs interfaces; HandoffUi contracts; Editor Android builder,Server ledger ad verification merchant contracts,Items; UI; ProjectSettings boundary,Client mock can render without authority,No,IAdRewardVerifier/IAccountLedger/IMerchantService,Backend,High
Presentation,Source,Assets/DragonBound/Runtime/Presentation/*.cs,In-run views drag input HUD workshop rune UI,"Core; Grid; Combat; Recruitment; Items; Runes",ScreenView initializes domain services,No,Read-only snapshots + command ports,UI/Presentation,High
HandoffUi,Source,Assets/DragonBound/Runtime/HandoffUi/*.cs; Assets/DragonBound/UI/Handoff/Prefabs/*; Assets/DragonBound/Scenes/UI_Handoff.unity,Preview-only item/merchant states and mock commands,"Unity UI/TMP",Scene tests consume prefab; no Runtime dependency,Yes,Keep isolated; later connect through adapter only,Handoff UI,Low
Analytics,Source,Assets/DragonBound/Runtime/Analytics/AnalyticsEventSchemaV2.cs,Telemetry payload schema,none,QA and Editor consumers compile against Runtime,Partial,Telemetry.Contracts + sink interface,Analytics,Medium
Editor/Diagnostics,Source,Assets/DragonBound/Editor/*.cs,Builders captures long-running diagnostics Android build,"Runtime; HandoffUi",Diagnostics instantiate concrete Runtime and write Logs,No,Move diagnostics beside owning module after seams,QA/Integration,Medium
EditMode Tests,Assembly,Assets/DragonBound/Tests/EditMode/DragonBound.Tests.EditMode.asmdef and 52 test files,Whole-runtime unit/integration tests,"GameShared; Runtime; HandoffUi; Unity UI",Single broad reference prevents module handoff,No,Split test assemblies after target asmdefs,QA,High
PlayMode Tests,Assembly,Assets/DragonBound/Tests/PlayMode/DragonBound.Tests.PlayMode.asmdef and 5 test files,Scene Bootstrap UI and integration tests,"GameShared; Runtime; HandoffUi; Unity UI",Direct scene names and Bootstrap assumptions,No,Keep Integration.PlayMode gate,QA/Integration,High
Production Scenes,Asset,Assets/DragonBound/Scenes/Greybox_Main.unity; HeroSlice_Main.unity,Build entry scenes and showcase composition,"Bootstrap; ScreenView; serialized prefab refs",Serialized integration boundary,No,Integration Owner approval + PlayMode gate,Integration,Critical
Handoff Scene,Asset,Assets/DragonBound/Scenes/UI_Handoff.unity,Preview scene for Handoff UI, HandoffUi prefab,No gameplay dependency,Yes,Preserve scene/prefab GUIDs,Handoff UI,Low
Product Prefabs,Asset,Assets/DragonBound/UI/Prefabs/Screens/DragonBoundPortraitScreen.prefab; Modules/*.prefab,Full runtime screen modules,"Presentation; serialized references",Screen owns runtime composition,No,Adapter-first migration,Integration/UI,High
Component Prefabs,Asset,Assets/DragonBound/UI/Prefabs/Components/*.prefab,Reusable board/unit visual components,Presentation,Serialized script GUIDs,Conditional,Move source and meta together,UI/Presentation,Medium
Project Settings,Asset,ProjectSettings/EditorBuildSettings.asset; ProjectSettings/ProjectSettings.asset,Build scene list and release identity,Integration/Unity,Global repository boundary,No,Integration Owner only,Release/Integration,Critical
